,Symbol,Name
130,BAJAJHIND,Bajaj_Hindusthan_Limited
131,BAJAJHLDNG,Bajaj_Holdings_&_Investment_Limited
132,BAJFINANCE,Bajaj_Finance_Limited
133,BALAJITELE,Balaji_Telefilms_Limited
134,BALAMINES,Balaji_Amines_Limited
135,BALKRISIND,Balkrishna_Industries_Limited
136,BALLARPUR,Ballarpur_Industries_Limited
137,BALMLAWRIE,Balmer_Lawrie_&_Company_Limited
138,BALPHARMA,Bal_Pharma_Limited
139,BALRAMCHIN,Balrampur_Chini_Mills_Limited
140,BANARISUG,Bannari_Amman_Sugars_Limited
141,BANCOINDIA,Banco_Products_(I)_Limited
142,BANG,Bang_Overseas_Limited
143,BANKBARODA,Bank_of_Baroda
144,BANKINDIA,Bank_of_India
145,BANSWRAS,Banswara_Syntex_Limited
146,BARTRONICS,Bartronics_India_Limited
147,BASF,BASF_India_Limited
148,BASML,Bannari_Amman_Spinning_Mills_Limited
149,BATAINDIA,Bata_India_Limited
150,BATLIBOI,Batliboi_Limited
151,BBL,Bharat_Bijlee_Limited
152,BBTC,Bombay_Burmah_Trading_Corporation_Limited
153,BEDMUTHA,Bedmutha_Industries_Limited
154,BEL,Bharat_Electronics_Limited
155,BELLCERATL,Bell_Ceramics_Limited
156,BEML,BEML_Limited
157,BEPL,Bhansali_Engineering_Polymers_Limited
158,BERGEPAINT,Berger_Paints_(I)_Limited
159,BFINVEST,BF_Investment_Limited
160,BFUTILITIE,BF_Utilities_Limited
161,BGRENERGY,BGR_Energy_Systems_Limited
162,BHAGWATIHO,Bhagwati_Banquets_and_Hotels_Limited
163,BHAGYNAGAR,Bhagyanagar_India_Limited
164,BHARATFORG,Bharat_Forge_Limited
165,BHARATGEAR,Bharat_Gears_Limited
166,BHARATRAS,Bharat_Rasayan_Limited
167,BHARTIARTL,Bharti_Airtel_Limited
168,BHARTISHIP,Bharati_Shipyard_Limited
169,BHEL,Bharat_Heavy_Electricals_Limited
170,BHUSANSTL,Bhushan_Steel_Limited
171,BIL,Bhartiya_International_Limited
172,BILPOWER,Bilpower_Limited
173,BINANIIND,Binani_Industries_Limited
174,BINDALAGRO,Oswal_Chemicals_&_Fertilizers_Limited
175,BIOCON,Biocon_Limited
176,BIRLACORPN,Birla_Corporation_Limited
177,BIRLACOT,Birla_Cotsyn_(India)_Limited
178,BIRLAERIC,Birla_Ericsson_Optical_Limited
179,BIRLAMONEY,Aditya_Birla_Money_Limited
180,BIRLAPOWER,Birla_Power_Solutions_Limited
181,BLBLIMITED,BLB_Limited
182,BLISSGVS,Bliss_GVS_Pharma_Limited
183,BLKASHYAP,B._L._Kashyap_and_Sons_Limited
184,BLUECHIP,Blue_Chip_India_Limited
185,BLUECOAST,Blue_Coast_Hotels_and_Resorts_Limited
186,BLUEDART,Blue_Dart_Express_Limited
187,BLUESTARCO,Blue_Star_Limited
188,BLUESTINFO,Blue_Star_Infotech_Limited
189,BOC,BOC_India_Limited
190,BOMDYEING,Bombay_Dyeing_&_Mfg_Company_Limited
191,BOSCHLTD,Bosch_Limited
192,BPCL,Bharat_Petroleum_Corporation_Limited
193,BPL,BPL_Limited
194,BRANDHOUSE,Brandhouse_Retails_Limited
195,BRFL,Bombay_Rayon_Fashions_Limited
196,BRIGADE,Brigade_Enterprises_Limited
197,BRITANNIA,Britannia_Industries_Limited
198,BROADCAST,Broadcast_Initiatives_Limited
199,BSELINFRA,BSEL_Infrastructure_Realty_Limited
200,BSL,BSL_Limited
201,BSTRANSCOM,BS_TransComm_Limited
202,BURNPUR,Burnpur_Cement_Limited
203,BVCL,Barak_Valley_Cements_Limited
204,CADILAHC,Cadila_Healthcare_Limited
205,CAIRN,Cairn_India_Limited
206,CALSOFT,California_Software_Company_Limited
207,CAMBRIDGE,Cambridge_Solutions_Limited
208,CAMLIN,Camlin_Limited
209,CANBK,Canara_Bank
210,CANDC,C_&_C_Constructions_Limited
211,CANFINHOME,Can_Fin_Homes_Limited
212,CANTABIL,Cantabil_Retail_India_Limited
213,CARBORUNIV,Carborundum_Universal_Limited
214,CAROLINFO,Carol_Info_Services_Limited
215,CASTROL,Castrol_India_Limited
216,CCCL,Consolidated_Construction_Consortium_Limited
217,CCL,CCL_Products_(India)_Limited
218,CEATLTD,CEAT_Limited
219,CEBBCO,Commercial_Engineers_&_Body_Builders_Co_Limited
220,CELESTIAL,Celestial_Biolabs_Limited
221,CENTENKA,Century_Enka_Limited
222,CENTEXT,Century_Extrusions_Limited
223,CENTRALBK,Central_Bank_of_India
224,CENTUM,Centum_Electronics_Limited
225,CENTURYPLY,Century_Plyboards_(India)_Limited
226,CENTURYTEX,Century_Textiles_&_Industries_Limited
227,CERA,Cera_Sanitaryware_Limited
228,CESC,CESC_Limited
229,CHAMBLFERT,Chambal_Fertilizers_&_Chemicals_Limited
230,CHEMFALKAL,Chemfab_Alkalis_Limited
231,CHEMPLAST,Chemplast_Sanmar_Limited
232,CHENNPETRO,Chennai_Petroleum_Corporation_Limited
233,CHESLINTEX,Cheslind_Textiles_Limited
234,CHETTINAD,Chettinad_Cement_Corporation_Limited
235,CHOLAFIN,Cholamandalam_Investment_and_Finance_Company_Limited
236,CILNOVA,CIL_Nova_Petrochemicals_Limited
237,CINEMAX,Cinemax_India_Limited
238,CINEVISTA,Cinevistaas_Limited
239,CIPLA,Cipla_Limited
240,CLASSIC,Classic_Diamonds_(India)_Limited
241,CLNINDIA,Clariant_Chemicals_(India)_Limited
242,CLUTCHAUTO,Clutch_Auto_Limited
243,CMAHENDRA,C._Mahendra_Exports_Limited
244,CMC,CMC_Limited
245,COALINDIA,Coal_India_Limited
246,COLPAL,Colgate_Palmolive_(India)_Limited
247,CONCOR,Container_Corporation_of_India_Limited
248,CONSOFINVT,Consolidated_Finvest_&_Holdings_Limited
249,CORAL-HUB,Coral_Hub_Limited
250,CORDSCABLE,Cords_Cable_Industries_Limited
251,COREPROTEC,Core_Projects_and_Technologies_Limited
252,COROMANDEL,Coromandel_International_Limited
253,CORPBANK,Corporation_Bank
254,COSMOFILMS,Cosmo_Films_Limited
255,COX&KINGS,Cox_&_Kings_Limited
256,CPIL,Career_Point_Infosystems_Limited
257,CREATIVEYE,Creative_Eye_Limited
258,CRESTANI,Crest_Animation_Studios_Limited
259,CREWBOS,Crew_B.O.S._Products_Limited
260,CRISIL,CRISIL_Limited
261,CROMPGREAV,Crompton_Greaves_Limited
262,CRONIMET,Cronimet_Alloys_India_Limited
263,CTE,Cambridge_Technology_Enterprises_Limited
264,CUB,City_Union_Bank_Limited
265,CUBEXTUB,Cubex_Tubings_Limited
266,CUMMINSIND,Cummins_India_Limited
267,CURATECH,Cura_Technologies_Limited
268,CYBERMEDIA,Cyber_Media_(India)_Limited
269,CYBERTECH,Cybertech_Systems_And_Software_Limited
270,DAAWAT,LT_Foods_Limited
271,DABUR,Dabur_India_Limited
272,DALMIASUG,Dalmia_Bharat_Sugar_and_Industries_Limited
273,DATAMATICS,Datamatics_Global_Services_Limited
274,DBCORP,D.B.Corp_Limited
275,DBREALTY,D_B_Realty_Limited
276,DCB,Development_Credit_Bank_Limited
277,DCHL,Deccan_Chronicle_Holdings_Limited
278,DCM,DCM_Limited
279,DCMSRMCONS,DCM_Shriram_Consolidated_Limited
280,DCW,DCW_Limited
281,DECCANCE,Deccan_Cements_Limited
282,DECOLIGHT,Decolight_Ceramics_Limited
283,DEEPAKFERT,Deepak_Fertilizers_and_Petrochemicals_Corporation_Limited
284,DEEPAKNTR,Deepak_Nitrite_Limited
285,DEEPIND,Deep_Industries_Limited
286,DELTACORP,Delta_Corp_Limited
287,DELTAMAGNT,Delta_Magnets_Limited
288,DEN,Den_Networks_Limited
289,DENABANK,Dena_Bank
290,DENORA,De_Nora_India_Limited
291,DEWANHOUS,Dewan_Housing_Finance_Corporation_Limited
292,DHAMPURSUG,The_Dhampur_Sugar_Mills_Limited
293,DHANBANK,Dhanlaxmi_Bank_Limited
294,DHANUKA,Dhanuka_Agritech_Limited
295,DHANUS,Dhanus_Technologies_Limited
296,DHARSUGAR,Dharani_Sugars_&_Chemicals_Limited
297,DHUNINV,Dhunseri_Investments_Limited
298,DIAPOWER,Diamond_Power_Infra_Ltd
299,DICIND,DIC_India_Limited
300,DIGJAM,Digjam_Limited
301,DISHMAN,Dishman_Pharmaceuticals_and_Chemicals
302,DISHTV,Dish_TV_India_Limited
303,DIVISLAB,Divi's_Laboratories_Limited
304,DLF,DLF_Limited
305,DLINKINDIA,D-Link_(India)_Limited
306,DOLPHINOFF,Dolphin_Offshore_Enterprises_(India)_Limited
307,DONEAR,Donear_Industries_Limited
308,DPSCLTD,DPSC_Limited
309,DPTL,Dhunseri_Petrochem_&_Tea_Limited
310,DQE,DQ_Entertainment_(International)_Limited
311,DREDGECORP,Dredging_Corporation_of_India_Limited
312,DRREDDY,Dr._Reddy's_Laboratories_Limited
313,DSKULKARNI,DS_Kulkarni_Developers_Limited
314,DUNCANSIND,Duncans_Industries_Limited
315,DWARKESH,Dwarikesh_Sugar_Industries_Limited
316,DYNAMATECH,Dynamatic_Technologies_Limited
317,DYNASYS,Dynacons_Systems_&_Solutions_Limited
